index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold
178,Nine Stories,J.D. Salinger,Intermediate,4.19,105138,fiction,2154.6,0.0,3.99,192,"Amazon Digital Services,  Inc.",540
179,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,Intermediate,3.67,121373,nonfiction,1599.65,959.79,2.99,193,Random House LLC,535
180,Unwind,Neal Shusterman,Intermediate,4.18,143892,fiction,524.7,314.82,0.99,194,Macmillan,530
181,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,Intermediate,4.34,123736,nonfiction,1024.85,614.91,1.99,197,"Amazon Digital Services,  Inc.",515
182,Prodigy,Marie Lu,Intermediate,4.29,149702,fiction,1524.9,0.0,2.99,198,"Amazon Digital Services,  Inc.",510
183,The Tragedie of King Lear,William Shakespeare,Intermediate,3.89,135448,fiction,2014.95,1208.97,3.99,199,"Amazon Digital Services,  Inc.",505
184,Death of a Salesman,Arthur Miller,Novice,3.49,132061,fiction,5433.18,3259.908,10.91,201,Penguin Group (USA) LLC,498
185,The Choice,Nicholas Sparks,Intermediate,3.99,93479,fiction,1483.04,0.0,2.99,202,"Amazon Digital Services,  Inc.",496
187,The Sound and the Fury,William Faulkner,Intermediate,3.86,124665,fiction,2445.1,1467.06,4.99,206,Hachette Book Group,490
188,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,Intermediate,4.02,106211,fiction,483.12,289.872,0.99,207,"Amazon Digital Services,  Inc.",488
189,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,Intermediate,4.21,120004,fiction,2605.92,1563.552,5.34,207,Penguin Group (USA) LLC,488
191,The Shadow Rising ,Robert Jordan,Intermediate,4.21,122524,nonfiction,2057.58,1234.548,4.26,210,HarperCollins Publishing,483
192,Shantaram,Gregory David Roberts,Intermediate,4.26,95213,fiction,476.19,0.0,0.99,211,"Amazon Digital Services,  Inc.",481
193,From Dead to Worse,Charlaine Harris,Intermediate,4.01,151095,fiction,475.2,285.12,0.99,212,"Amazon Digital Services,  Inc.",480
194,The Waste Lands,"Stephen King, Ned Dameron",Intermediate,4.24,117483,fiction,1429.22,0.0,2.99,213,"Amazon Digital Services,  Inc.",478
195,The Bone Collector,Jeffery Deaver,Intermediate,4.18,120541,fiction,5253.22,3151.932,10.99,213,Random House LLC,478
196,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",Intermediate,3.73,119911,fiction,1423.24,0.0,2.99,214,"Amazon Digital Services,  Inc.",476
197,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",Intermediate,4.19,125668,fiction,2375.24,1425.144,4.99,214,Hachette Book Group,476
198,Hyperion,Dan Simmons,Intermediate,4.21,122225,fiction,470.25,0.0,0.99,215,"Amazon Digital Services,  Inc.",475
199,The Pearl of the World,John Steinbeck,Novice,3.41,133264,fiction,470.25,282.15,0.99,215,"Amazon Digital Services,  Inc.",475
200,The Exorcist,William Peter Blatty,Intermediate,4.14,124467,fiction,1399.32,0.0,2.99,219,"Amazon Digital Services,  Inc.",468
201,The Short Second Life of Bree Tanner,Stephenie Meyer,Intermediate,3.51,145874,fiction,461.34,0.0,0.99,220,"Amazon Digital Services,  Inc.",466
202,Snow Falling on Cedars,David Guterson,Intermediate,3.8,131945,fiction,1393.34,0.0,2.99,220,"Amazon Digital Services,  Inc.",466
203,Roots,Alex Haley,Famous,4.42,118951,fiction,460.35,276.21,0.99,221,Macmillan,465
204,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",Intermediate,4.36,113855,fiction,455.4,273.24,0.99,224,Random House LLC,460
205,Invisible Man,Ralph Ellison,Intermediate,3.84,123073,fiction,455.4,0.0,0.99,224,"Amazon Digital Services,  Inc.",460
206,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,Intermediate,4.14,116260,fiction,3643.44,0.0,7.99,226,"Amazon Digital Services,  Inc.",456
208,Different Seasons,Stephen King,Intermediate,4.34,105961,fiction,5000.45,3000.27,10.99,227,Simon and Schuster Digital Sales Inc,455
211,Wool Omnibus,Hugh Howey,Intermediate,4.24,81982,fiction,2250.49,1350.294,4.99,229,Penguin Group (USA) LLC,451
212,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Intermediate,4.26,118576,fiction,4792.5,2875.5,10.65,230,Random House LLC,450
213,The Power of Now,Eckhart Tolle,Intermediate,4.1,104549,fiction,4771.2,2862.72,10.65,231,Penguin Group (USA) LLC,448
214,Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,Intermediate,3.9,118475,fiction,443.52,266.112,0.99,231,"Amazon Digital Services,  Inc.",448
215,The Lies of Locke Lamora,Scott Lynch,Intermediate,4.3,118751,fiction,1324.57,794.742,2.99,234,Simon and Schuster Digital Sales Inc,443
216,Sabriel,Garth Nix,Intermediate,4.17,137047,fiction,8811.18,5286.708,19.98,235,Random House LLC,441
217,Dead and Gone,Charlaine Harris,Intermediate,4.01,145157,fiction,2175.64,1305.384,4.99,238,Random House LLC,436
218,The Storyteller,Jodi Picoult,Intermediate,4.26,109313,fiction,430.65,0.0,0.99,239,"Amazon Digital Services,  Inc.",435
219,Obsidian,Jennifer L. Armentrout,Intermediate,4.23,164832,fiction,5191.67,3115.002,11.99,240,Penguin Group (USA) LLC,433
220,"Life, the Universe and Everything",Douglas Adams,Intermediate,4.19,131562,fiction,2593.67,1556.202,5.99,240,Hachette Book Group,433
221,Crown of Midnight,Sarah J. Maas,Famous,4.49,160485,fiction,426.69,256.014,0.99,241,"Amazon Digital Services,  Inc.",431
222,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,Intermediate,4.18,126864,fiction,425.7,255.42,0.99,242,Random House LLC,430
223,Half Broke Horses: A True Life Novel,Jeannette Walls,Intermediate,4.05,110597,fiction,5107.74,3064.644,11.99,244,Penguin Group (USA) LLC,426
224,Mort,Terry Pratchett,Intermediate,4.22,128450,fiction,3821.22,2292.732,8.97,244,"Amazon Digital Services,  Inc.",426
225,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,Intermediate,3.92,158063,fiction,420.75,252.45,0.99,245,Macmillan,425
226,Lonesome Dove,Larry McMurtry,Famous,4.47,111498,fiction,1687.77,0.0,3.99,246,"Amazon Digital Services,  Inc.",423
227,Stiff: The Curious Lives of Human Cadavers,Mary Roach,Intermediate,4.05,122502,nonfiction,4473.0,2683.8,10.65,248,Random House LLC,420
228,Bloodlines,Richelle Mead,Intermediate,4.22,140599,fiction,413.82,248.292,0.99,249,Macmillan,418
229,Ender's Shadow,Orson Scott Card,Intermediate,4.3,115521,nonfiction,411.84,0.0,0.99,250,"Amazon Digital Services,  Inc.",416
230,Twenties Girl,Sophie Kinsella,Intermediate,3.82,119105,fiction,2070.85,1242.51,4.99,251,Random House LLC,415
231,Schindler's Ark,Thomas Keneally,Intermediate,4.34,108338,fiction,2537.9,1522.74,6.19,254,"Amazon Digital Services,  Inc.",410
232,The Bluest Eye,Toni Morrison,Intermediate,3.99,109944,fiction,1219.92,0.0,2.99,255,"Amazon Digital Services,  Inc.",408
233,The White Queen,Philippa Gregory,Intermediate,3.9,119739,fiction,1685.04,1011.024,4.13,255,"Amazon Digital Services,  Inc.",408
234,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",Intermediate,4.29,124805,nonfiction,2025.94,1215.564,4.99,256,Random House LLC,406
235,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",Intermediate,4.3,122540,nonfiction,2251.8,1351.08,5.56,257,"Amazon Digital Services,  Inc.",405
236,Seabiscuit,Laura Hillenbrand,Intermediate,4.2,111497,fiction,1007.5,604.5,2.5,258,HarperCollins Publishers,403
237,Shutter Island,Dennis Lehane,Intermediate,4.07,113718,fiction,4270.65,2562.39,10.65,259,Penguin Group (USA) LLC,401
238,The Complete Sherlock Holmes,Arthur Conan Doyle,Famous,4.5,109754,fiction,3180.02,1908.012,7.99,261,Penguin Group (USA) LLC,398
239,The Tragedy of Julius Caesar,"William Shakespeare, Roma Gill",Intermediate,3.65,119933,fiction,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396
240,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,Intermediate,3.81,110481,fiction,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396
241,Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,"Plato, Desmond Lee",Intermediate,3.9,110274,fiction,387.09,232.254,0.99,265,"Amazon Digital Services,  Inc.",391
242,The Taming of the Shrew,William Shakespeare,Intermediate,3.81,126318,nonfiction,2726.1,1635.66,6.99,266,Hachette Book Group,390
243,Cress,Marissa Meyer,Famous,4.46,162069,nonfiction,1154.14,692.484,2.99,268,Macmillan,386
244,Just Kids,Patti Smith,Intermediate,4.14,106542,fiction,766.15,459.69,1.99,269,Random House LLC,385
246,Jemima J,Jane Green,Intermediate,3.62,101436,fiction,758.19,0.0,1.99,271,"Amazon Digital Services,  Inc.",381
247,Notre-Dame de Paris,"Victor Hugo, Walter J. Cobb",Intermediate,3.97,119851,nonfiction,3013.71,1808.226,7.91,271,"Amazon Digital Services,  Inc.",381
248,A Fine Balance,Rohinton Mistry,Intermediate,4.34,99252,fiction,1136.2,681.72,2.99,272,Simon and Schuster Digital Sales Inc,380
249,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",Famous,4.61,117788,nonfiction,1886.22,1131.732,4.99,273,Penguin Group (USA) LLC,378
250,Specials,Scott Westerfeld,Intermediate,3.77,139168,fiction,1124.24,674.544,2.99,274,"Amazon Digital Services,  Inc.",376
251,The Awakening,Kate Chopin,Intermediate,3.63,125474,fiction,371.25,0.0,0.99,275,"Amazon Digital Services,  Inc.",375
252,Hunted,"P.C. Cast, Kristin Cast",Intermediate,3.93,138103,fiction,1871.25,1122.75,4.99,275,Random House LLC,375
253,For One More Day,Mitch Albom,Intermediate,4.09,102193,fiction,1488.27,0.0,3.99,276,"Amazon Digital Services,  Inc.",373
254,Clear and Present Danger,Tom Clancy,Intermediate,4.08,105317,fiction,1115.27,669.162,2.99,276,Hachette Book Group,373
255,Falling Up,Shel Silverstein,Intermediate,4.33,111779,fiction,366.3,0.0,0.99,278,"Amazon Digital Services,  Inc.",370
257,Trainspotting,"Irvine Welsh, Eric Lindor Fall",Intermediate,4.07,59453,fiction,1100.32,660.192,2.99,279,Random House LLC,368
258,Foundation and Empire,Isaac Asimov,Intermediate,4.2,105595,fiction,1094.34,0.0,2.99,280,"Amazon Digital Services,  Inc.",366
260,House Rules,Jodi Picoult,Intermediate,4.01,111239,nonfiction,4084.35,2450.61,11.19,281,HarperCollins Publishers,365
261,BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",Intermediate,4.31,116324,fiction,1811.37,0.0,4.99,282,"Amazon Digital Services,  Inc.",363
262,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Intermediate,4.15,134537,fiction,1085.37,651.222,2.99,282,"Amazon Digital Services,  Inc.",363
263,Doctor Sleep,Stephen King,Intermediate,4.1,95276,fiction,357.39,214.434,0.99,283,"Amazon Digital Services,  Inc.",361
264,About a Boy,Nick Hornby,Intermediate,3.79,101999,fiction,1079.39,647.634,2.99,283,Penguin Group (USA) LLC,361
265,On Dublin Street,Samantha Young,Intermediate,4.24,136761,nonfiction,3905.78,2343.468,10.91,285,Random House LLC,358
266,Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",Intermediate,4.15,106351,fiction,1064.44,638.664,2.99,286,Macmillan,356
269,The Story of My Life,Helen Keller,Intermediate,4.07,107313,nonfiction,347.49,208.494,0.99,289,"Amazon Digital Services,  Inc.",351
270,This Is Where I Leave You,Jonathan Tropper,Intermediate,3.88,98645,fiction,346.5,0.0,0.99,290,"Amazon Digital Services,  Inc.",350
271,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,Intermediate,3.7,106336,fiction,344.52,0.0,0.99,291,"Amazon Digital Services,  Inc.",348
272,ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,"Natsuki Takaya, Alethea Nibley, Athena Nibley",Intermediate,4.23,118467,nonfiction,1031.55,618.93,2.99,293,Simon and Schuster Digital Sales Inc,345
273,The Tempest,William Shakespeare,Intermediate,3.8,125178,fiction,1025.57,0.0,2.99,294,"Amazon Digital Services,  Inc.",343
274,Burned: A House of Night Novel,"P.C. Cast, Kristin Cast",Intermediate,3.98,120763,fiction,1019.59,0.0,2.99,295,"Amazon Digital Services,  Inc.",341
275,Wizard and Glass,"Stephen King, Dave McKean",Intermediate,4.24,105026,fiction,1019.59,611.754,2.99,295,Simon and Schuster Digital Sales Inc,341
276,The Circle,Dave Eggers,Novice,3.46,109412,fiction,3872.6,2323.56,11.39,296,Penguin Group (USA) LLC,340
277,The Invention of Hugo Cabret,Brian Selznick,Intermediate,4.23,132159,fiction,1686.62,0.0,4.99,297,"Amazon Digital Services,  Inc.",338
278,Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",Intermediate,4.16,108124,fiction,1676.64,0.0,4.99,298,"Amazon Digital Services,  Inc.",336
279,æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,Bisco Hatori,Excellent,4.36,113881,fiction,666.65,399.99,1.99,299,HarperCollins Publishers,335
280,The Good Girl,Mary Kubica,Intermediate,3.81,100936,fiction,2620.72,1572.432,7.99,303,Random House LLC,328
281,"Fallen Too Far (Too Far, #1)",Abbi Glines,Excellent,4.21,138871,fiction,2875.32,1725.192,8.82,304,Penguin Group (USA) LLC,326
282,Landline,Rainbow Rowell,Intermediate,3.55,113805,fiction,1300.74,0.0,3.99,304,"Amazon Digital Services,  Inc.",326
283,Tempted,"P.C. Cast, Kristin Cast",Intermediate,3.96,127387,fiction,2759.25,1655.55,8.49,305,HarperCollins Publishers,325
284,No Country for Old Men,Cormac McCarthy,Excellent,4.12,100513,fiction,1611.77,967.062,4.99,306,Simon and Schuster Digital Sales Inc,323
285,Wolf Hall,Hilary Mantel,Intermediate,3.85,102936,fiction,2468.49,1481.094,7.69,307,Penguin Group (USA) LLC,321
286,Howl's Moving Castle,Diana Wynne Jones,Excellent,4.3,123945,fiction,950.82,0.0,2.99,309,"Amazon Digital Services,  Inc.",318
287,Dreamcatcher,"Stephen King, William Olivier Desmond",Intermediate,3.59,115855,fiction,1576.84,0.0,4.99,310,"Amazon Digital Services,  Inc.",316
288,Walden; or Life in the Woods,Henry David Thoreau,Intermediate,3.79,108062,nonfiction,2044.35,1226.61,6.49,311,Random House LLC,315
289,The Remains of the Day,Kazuo Ishiguro,Excellent,4.1,105892,nonfiction,1874.87,1124.922,5.99,312,Random House LLC,313
290,The Best of Me,Nicholas Sparks,Intermediate,3.91,103915,fiction,307.89,184.734,0.99,313,"Amazon Digital Services,  Inc.",311
291,The Sense of an Ending,Julian Barnes,Intermediate,3.7,94968,fiction,306.9,0.0,0.99,314,"Amazon Digital Services,  Inc.",310
292,A is for Alibi,Sue Grafton,Intermediate,3.82,116026,fiction,616.9,370.14,1.99,314,"Amazon Digital Services,  Inc.",310
293,ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚,"Sophocles, J.E. Thomas",Intermediate,3.67,119496,fiction,2460.92,1476.552,7.99,315,Hachette Book Group,308
294,Shanghai Girls,Lisa See,Intermediate,3.87,106729,nonfiction,2152.92,1291.752,6.99,315,Penguin Group (USA) LLC,308
295,The Wind in the Willows,"Kenneth Grahame, Gillian Avery",Intermediate,3.98,124612,fiction,10327.3,6196.38,33.86,317,Penguin Group (USA) LLC,305
296,To All the Boys I've Loved Before,Jenny Han,Excellent,4.11,136938,nonfiction,598.99,0.0,1.99,319,"Amazon Digital Services,  Inc.",301
